timestamp.Treatment,humidity.Treatment,precipIntensity.Treatment,temperature.Treatment,windSpeed.Treatment,light.Treatment,Weekend.Treatment,Hour.Treatment,timestamp.Control,humidity.Control,precipIntensity.Control,temperature.Control,windSpeed.Control,light.Control,Weekend.Control,precipType.Control,Hour.Control
1584266400,0.57,0,42.69,4.49,0,1,6,1580662800,0.61,6.00E-04,42.54,9.09,1,1,1,12
1586689200,0.55,0,42.07,2.11,1,1,7,1580662800,0.61,6.00E-04,42.54,9.09,1,1,1,12
1584799200,0.53,0.0011,42.93,7.1,1,1,10,1580666400,0.57,0,43.3,8.67,1,1,3,13
1584270000,0.55,0.0012,42.57,4.91,0,1,7,1580666400,0.57,0,43.3,8.67,1,1,3,13
1584273600,0.55,0,42.57,5.72,1,1,8,1580666400,0.57,0,43.3,8.67,1,1,3,13
1586678400,0.51,0,42.95,1.59,0,1,4,1580666400,0.57,0,43.3,8.67,1,1,3,13
1584277200,0.51,0,43.03,8.32,1,1,9,1580666400,0.57,0,43.3,8.67,1,1,3,13
1584795600,0.56,0,43.01,8.16,1,1,9,1580666400,0.57,0,43.3,8.67,1,1,3,13
1584262800,0.54,0,43.19,4.82,0,1,5,1580666400,0.57,0,43.3,8.67,1,1,3,13
1584259200,0.54,0,43.53,4.04,0,1,4,1580666400,0.57,0,43.3,8.67,1,1,3,13
1585033200,0.85,0,36.46,8.86,0,0,3,1580713200,0.9,0,37.26,6.56,0,0,3,2
1585026000,0.86,0,37.64,9.05,0,0,1,1580716800,0.89,0,37.9,6.15,0,0,3,3
1585022400,0.86,0.0012,37.92,9.01,0,0,0,1580716800,0.89,0,37.9,6.15,0,0,3,3
1585029600,0.84,4.00E-04,37.29,7.87,0,0,2,1580716800,0.89,0,37.9,6.15,0,0,3,3
1585659600,0.75,0.0013,43.38,7.76,1,0,9,1580738400,0.76,5.00E-04,43.33,6.02,1,0,1,9
1585072800,0.46,2.00E-04,53.21,6.41,1,0,14,1580752800,0.49,0.001,52.63,7.56,1,0,1,13
1586260800,0.48,0,51.88,4.83,1,0,8,1580752800,0.49,0.001,52.63,7.56,1,0,1,13
1585242000,0.48,0,52.5,4.41,1,0,13,1580752800,0.49,0.001,52.63,7.56,1,0,1,13
1586264400,0.45,0.0012,54.5,4.55,1,0,9,1580756400,0.47,0.0019,54.19,9.15,1,0,1,14
1585245600,0.45,0,55.12,6.04,1,0,14,1580760000,0.45,0,55.37,9.18,1,0,3,15
1586185200,0.48,0,55.95,6.73,1,0,11,1580760000,0.45,0,55.37,9.18,1,0,3,15
1585256400,0.48,0,56.56,9.75,1,0,17,1580763600,0.43,0,55.98,8.03,1,0,3,16
1586300400,0.44,0,56.54,6.37,1,0,19,1580763600,0.43,0,55.98,8.03,1,0,3,16
1585080000,0.45,0,55.18,5.55,1,0,16,1580767200,0.47,0,54.75,5.16,1,0,3,17
1585083600,0.47,0,54.65,6.5,1,0,17,1580767200,0.47,0,54.75,5.16,1,0,3,17
1585076400,0.46,6.00E-04,53.72,5.7,1,0,15,1580767200,0.47,0,54.75,5.16,1,0,3,17
1586905200,0.42,9.00E-04,53.74,8.55,1,0,19,1580767200,0.47,0,54.75,5.16,1,0,3,17
